id;codigo;monto;monto_pagado;fecha;codigo_documento;glosa;comprobante;foto_comprobante;foto_comprobante_content_type;tipo_de_documento_de_venta_id;tipo_de_pago_id
29;B001-0000028;270.22;0;2019-02-17;"";null;null;null;null;2;4
30;B001-0000029;6608;0;2019-02-17;"";null;null;null;null;2;4
31;B001-0000030;6608;600000000;2019-02-17;"";null;889;null;null;2;3
32;B001-0000031;61.36;8;2019-02-17;"";"";null;null;null;2;1
33;B001-0000032;61.36;50;2019-02-17;"";"";980;null;null;2;1
34;B001-0000033;61.36;3;2019-02-17;"";09;989;null;null;2;1
35;B001-0000034;38.94;50;2019-02-17;"";null;null;null;null;2;1
36;B001-0000035;1.18;1.18;2019-02-17;40787231;null;null;null;null;2;1
37;B001-0000036;156.6;156.6;2019-02-26;40787231;null;null;null;null;2;1
38;B001-0000037;22500;0;2019-02-26;40787231;null;null;null;null;2;4
